Acquisition Date,DIV,Genotype,Dish,Trial,Neuron,Peak Values, Peak Value Stdev,Peak Widths (s),Peak Widths Stdev (s),Mean Amplitude,Stdev Amplitude,Period (s),Stdev Period (s),Peak Rise Rate,Stdev Peak Rise Rate,Peak Fall Rate,Stdev Peak Fall Rate,Frequency (Hz),Stdev Frequency (Hz),I - Maximum,I - Minimum,I - Mean,I - Stdev,dI/dt - Maximum,dI/dt - Minimum,dI/dt - Mean,dI/dt - Stdev,I - Start,I - End,Score
6/1/18,7,WT,2,5,1,0.122761,0.008539,1.400262,0.247761,0.091072,0.018469,1.332174,0.249926,20.242137,4.007243,-4.297773,0.728411,0.183038,0.065234,29064.404,25526.873,26982.06811,706.722889,1272.793,-281.365,0.05756,105.760084,27361.893,27707.193,3.5
6/1/18,7,WT,2,5,2,0.126339,0.005525,1.20572,0.125529,0.085295,0.01579,1.101176,0.180836,16.261439,3.136938,-5.080197,0.729952,0.179204,0.065979,28649.352,25121.516,26854.29607,734.122091,912.688,-341.596,0.21,107.335759,26592.371,27852.162,3
6/1/18,7,WT,2,5,3,0.126356,0.002579,1.536166,0.288743,0.091166,0.014265,1.394074,0.270089,16.921634,3.745828,-3.452573,0.546309,0.174947,0.067404,34932.074,30664.506,32938.58864,985.559111,1139.824,-268.293,0.224328,110.852075,32997.203,34342.945,2.5
6/1/18,7,WT,2,5,4,NaN,NaN,NaN,NaN,0.040299,0.002688,0.773333,0.161658,6.181658,1.300658,-4.65059,0.703927,0.055801,0.003691,28855.244,25357.887,26894.08157,934.351384,393.248,-318.189,0.451875,73.816392,25783.768,28494.564,1
6/1/18,7,WT,2,5,5,NaN,NaN,NaN,NaN,0.048392,0.004229,0.795,0.151846,8.04288,1.775717,-4.156218,0.713806,0.112103,0.075178,25905.516,22235.148,23921.72963,966.042327,432.879,-243.617,0.479109,76.309466,22602.713,25476.885,1
6/1/18,7,WT,2,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5
6/1/18,7,WT,2,5,7,NaN,NaN,NaN,NaN,0.03214,0.002557,0.753333,0.179629,5.569354,1.115608,-3.374508,0.487288,0.071343,0.048017,35126.281,31233.105,33423.6092,896.125104,422.748,-281.769,0.522578,74.511987,31483.902,34618.848,1.5
6/1/18,7,WT,2,5,8,NaN,NaN,NaN,NaN,0.040649,0,0.92,0,6.915866,1.453542,-3.392499,0.543905,NaN,NaN,33600.395,28928.43,31501.47402,1145.435211,452.235,-263.996,0.657874,73.174755,29217.936,33164.52,1.5
6/1/18,7,WT,2,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5
6/1/18,7,WT,2,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5
6/1/18,7,WT,2,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5
6/1/18,7,WT,2,5,13,NaN,NaN,NaN,NaN,0.045627,0.001475,1.613333,0.289367,6.710019,1.352016,-4.347774,0.605087,0.056045,0.00869,29277.666,25216.289,26976.06644,1027.86002,424.804,-297.432,0.541734,75.25253,25592.084,28841.947,1.5
